Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
2003-06;-2,03;-1,20;-0,74;-1,73;-2,39;-1,88;-1,12;0,13;-1,77
2003-07;-2,38;-1,25;-1,02;-1,96;-2,39;-1,65;-1,30;-0,45;-1,88
2003-08;-2,59;-1,29;-1,33;-1,97;-2,48;-1,43;-1,56;-0,70;-2,35
2003-09;-2,45;-1,15;-1,09;-1,77;-2,29;-1,05;-1,32;-0,57;-2,13
2003-10;-2,43;-1,15;-1,05;-1,78;-2,27;-1,07;-1,23;-0,49;-2,01
2003-11;-2,53;-1,07;-0,93;-1,85;-2,21;-1,06;-1,05;-0,38;-1,87
2003-12;-2,78;-1,17;-0,96;-1,87;-2,20;-0,85;-1,24;-0,59;-2,16
2004-01;-2,88;-1,02;-0,95;-1,76;-2,53;-0,71;-1,17;-0,40;-2,24
2004-02;-2,81;-0,85;-0,93;-1,81;-2,50;-0,65;-1,07;-0,53;-2,30
2004-03;-2,71;-0,67;-0,85;-1,36;-2,34;-0,56;-0,79;-0,32;-2,22
2004-04;-2,92;-0,70;-1,21;-1,77;-2,81;-0,53;-0,88;-0,66;-2,57
2004-05;-3,05;-0,92;-1,42;-2,14;-3,08;-0,72;-1,11;-0,92;-2,96
2004-06;-2,92;-0,49;-1,13;-1,59;-2,93;-0,60;-0,82;-0,72;-2,79
2004-07;-2,61;-0,31;-0,83;-1,23;-2,95;-0,55;-0,61;-0,44;-2,65
2004-08;-2,32;-0,14;-0,61;-1,06;-2,67;-0,30;-0,37;-0,21;-2,46
2004-09;-2,20;-0,06;-0,35;-0,94;-2,63;-0,07;-0,10;-0,14;-2,22
2004-10;-2,00;-0,13;-0,30;-0,66;-2,64;0,10;0,00;-0,12;-2,16
2004-11;-1,81;-0,06;-0,29;-0,49;-2,38;0,15;0,08;-0,14;-2,03
2004-12;-1,91;-0,12;-0,38;-0,47;-2,51;0,15;-0,08;-0,11;-2,16
2005-01;-1,62;0,03;-0,18;-0,36;-2,27;0,37;0,09;-0,09;-1,92
2005-02;-1,58;0,15;-0,02;-0,07;-2,19;0,41;0,21;0,21;-1,74
2005-03;-1,71;0,13;-0,03;-0,35;-2,38;0,35;0,13;-0,02;-1,70
2005-04;-1,35;0,36;0,12;-0,03;-2,10;0,63;0,23;0,08;-1,50
2005-05;-1,29;0,49;0,18;0,19;-2,09;0,65;0,23;0,27;-1,45
2005-06;-1,07;0,60;0,36;0,44;-1,88;0,74;0,80;0,61;-1,20
2005-07;-1,00;0,65;0,43;0,59;-1,90;0,73;0,76;0,56;-1,01
2005-08;-0,86;0,63;0,56;0,76;-1,69;0,88;0,93;0,64;-0,83
2005-09;-0,69;0,63;0,61;1,07;-1,65;0,88;0,99;0,87;-0,73
2005-10;-0,49;0,62;0,75;1,10;-1,71;0,88;1,15;0,98;-0,61
2005-11;-0,33;0,62;0,81;1,16;-1,80;1,23;1,46;1,03;-0,53
2005-12;-0,27;0,64;0,86;1,36;-1,76;1,26;1,56;0,99;-0,52
2006-01;-0,16;0,62;1,08;1,65;-1,67;1,37;1,57;1,41;-0,37
2006-02;-0,17;0,46;0,94;1,60;-1,56;1,29;1,36;1,29;-0,35
2006-03;-0,05;0,47;1,10;1,79;-1,63;1,08;1,50;1,49;-0,16
2006-04;0,00;0,38;1,27;1,93;-1,66;1,34;1,75;1,54;-0,06
2006-05;0,01;0,12;1,17;1,70;-1,54;1,23;1,66;1,39;-0,01
2006-06;0,15;0,35;1,28;1,92;-1,26;1,54;1,74;1,65;0,21
2006-07;0,13;0,46;1,28;1,87;-1,21;1,60;1,84;1,62;0,27
2006-08;0,20;0,41;1,23;1,76;-1,11;1,48;1,66;1,45;0,18
2006-09;0,16;0,39;1,08;1,85;-1,09;1,43;1,63;1,25;0,20
2006-10;0,07;0,40;1,00;1,94;-1,01;1,27;1,42;1,36;0,15
2006-11;0,08;0,49;0,88;2,03;-1,09;1,27;1,36;1,21;0,14
2006-12;0,19;0,47;0,90;1,93;-0,97;1,18;1,25;1,21;0,13
2007-01;0,18;0,41;0,97;1,85;-0,93;0,92;1,23;1,10;-0,01
2007-02;0,15;0,45;0,90;1,53;-1,07;0,99;1,14;1,04;0,07
2007-03;0,14;0,55;0,83;1,72;-1,12;0,81;1,15;1,24;0,11
2007-04;0,29;0,54;0,92;1,65;-1,21;1,03;1,20;1,22;0,11
2007-05;0,25;0,59;0,82;1,66;-1,24;0,92;1,26;1,25;0,05
2007-06;0,17;0,36;0,67;1,48;-1,24;0,66;1,00;0,80;-0,27
2007-07;0,05;0,38;0,71;1,49;-1,34;0,60;1,11;0,87;-0,19
2007-08;0,24;0,33;0,89;1,80;-1,20;1,06;1,39;1,36;-0,42
2007-09;-0,15;0,04;0,42;1,50;-1,69;-0,14;0,67;1,13;-0,59
2007-10;-0,38;-0,20;0,30;1,17;-1,87;-0,32;0,27;0,88;-0,89
2007-11;0,15;0,20;0,36;1,59;-1,48;0,19;0,63;1,33;-0,28
2007-12;0,04;-0,03;0,43;1,32;-2,05;-0,59;0,30;1,18;-0,76
2008-01;-1,62;-0,85;-0,76;0,19;-2,76;-1,65;-0,91;-0,12;-1,67
2008-02;-1,85;-0,84;-0,88;-0,06;-2,89;-2,09;-1,22;-0,18;-1,59
2008-03;-2,27;-1,00;-1,37;-0,31;-3,34;-2,43;-1,68;-0,49;-2,15
2008-04;-2,25;-0,53;-1,22;0,05;-3,09;-2,76;-1,60;-0,04;-1,70
2008-05;-2,47;-0,95;-1,68;-0,35;-3,60;-2,85;-1,99;-0,50;-2,01
2008-06;-2,56;-1,05;-1,56;-0,75;-3,82;-2,96;-1,92;-0,70;-1,93
